y_lat,x_lon,portfolio_manager_id,property_name,street_address,postal_code,num_of_buildings,year_built,primary_prop_type_epa_calc,total_floor_area_bld_pk_ft2,electric_use_kbtu,natural_gas_use_kbtu,fuel_oil_02_use_kbtu,steam_use_kbtu,energy_star_score,site_eui_kbtuft2,weather_norm_site_eui_kbtuft2,weather_norm_source_eui_kbtuf,total_ghg_emissions_mtco2e,water_use_all_kgal,water_score,estar_certified,compliance_type,benchmarking_status,data_year,crime_count_5mi,crime_score_5mi_weighted,latitude,longitude,calculated_total_energy,estimated_sqft,ghg_per_sqft,water_per_sqft,eui,eui_score,ghg_score,crime_score,composite_score,Grade
39.95563145,-75.19252623,3321455,3440 Market St,3440 Market St,19104,1,1981,Office,117809.4733944954,5638406.0,782210.3,0.0,0.0,75.0,54.5,55.3,141.8,2274.6,1210.9,0.49640287769784175,No,Required Compliance,Complied,2024,149,58.3,39.95563145,-75.19252623,6420616.3,117809.4733944954,0.01930744561078973,0.010278460340325897,54.5,0.6007194244604317,0.021582733812949617,0.5675287356321839,0.43364963201852313,C+
39.95853566,-75.20548744,3522077,30 N 41st Street Philadelphia PA (2.0 University Place),30 N 41st Street,19104,1,2013,Office,97274.94602272725,2926646.3,497431.8,0.0,0.0,87.0,35.2,36.6,92.3,259.5,484.8,0.8057553956834532,11/10/2025,Required Compliance,Complied,2024,190,81.5,39.95853566,-75.20548744,3424078.0999999996,97274.94602272725,0.0026676961603183066,0.004983811554999287,35.2,0.8920863309352518,0.8848920863309353,0.3864942528735632,0.7762197138840652,A-
39.95167833,-75.18285115,4393810,FMC Tower at Cira Centre South,2929 WALNUT STREET,19104,1,2016,Office,1042082.499082569,40820129.20000001,15973367.0,0.0,0.0,75.0,54.5,54.9,126.9,4099.8,17008.9,0.24460431654676262,11/24/2025,Required Compliance,Complied,2024,253,88.2,39.95167833,-75.18285115,56793496.20000001,1042082.499082569,0.0039342374558726315,0.016322028260693695,54.5,0.6007194244604317,0.6618705035971223,0.3477011494252874,0.5119862730505251,B-
39.95739069,-75.18248258,1485471,Cira Centre,2929 ARCH STREET,19104,1,2006,Office,788297.402234637,56240422.0,201672.0,0.0,0.0,33.0,71.6,72.3,201.9,4490.3,12033.2,0.28057553956834536,02/07/2022,Required Compliance,Complied,2024,181,64.7,39.95739069,-75.18248258,56442094.0,788297.402234637,0.005696200427999712,0.015264797227402654,71.6,0.3453237410071942,0.3165467625899281,0.5222701149425287,0.3638065409741173,C
39.95573408,-75.16978496,1485534,Two Logan Square,100 North 18th Street,19103,1,1988,Office,807876.9181102362,51300184.3,0.0,0.0,0.0,70.0,63.5,64.4,180.3,4086.1,10989.2,0.3525179856115108,01/02/2024,Required Compliance,Complied,2024,397,146.7,39.95573408,-75.16978496,51300184.3,807876.9181102362,0.005057824909217724,0.013602567115923598,63.5,0.4316546762589928,0.4244604316546763,0.15373563218390807,0.3624018026957745,C
39.95640678,-75.170122,1485500,One Logan Square,130 North 18th Street,19103,1,1983,Office,948356.529109589,41260408.4,14123612.9,0.0,0.0,76.0,58.4,59.9,138.1,4036.6,6272.5,0.7194244604316546,12/11/2024,Required Compliance,Complied,2024,392,144.9,39.95640678,-75.170122,55384021.3,948356.529109589,0.004256416101009986,0.006614073723823301,58.4,0.5035971223021583,0.5827338129496402,0.16666666666666663,0.48836930455635486,C+
39.95391885,-75.18263265,36229178,Cira Square Parent,2970 Market St,19104,2,1934,Office,1076400.0,41328516.4,11088892.8,0.0,0.0,94.0,56.2,58.2,138.7,3880.8,8907.3,0.6474820143884892,07/10/2025,Required Compliance,Complied,2024,248,87.6,39.95391885,-75.18263265,52417409.2,932694.1138790036,0.003605351170568562,0.008275083612040133,56.2,0.5575539568345323,0.7410071942446044,0.3512931034482759,0.5756543041428925,B
39.9556107,-75.16889353,1218039,Three Logan Square,1717 Arch Street,19103,1,1990,Office,1029148.0161527168,48603870.8,0.0,0.0,21481109.1,76.0,68.1,71.5,161.9,5297.6,14265.2,0.3309352517985612,12/21/2023,Required Compliance,Complied,2024,405,149.6,39.9556107,-75.16889353,70084979.9,1029148.0161527168,0.005147558870884401,0.0138611742685254,68.1,0.38848920863309355,0.41007194244604317,0.14511494252873558,0.33657694534027954,C-
39.95472379,-75.16362348,25561531,One City,1401 Arch St,19102,1,2019,Multifamily Housing,220350.0391304348,7018498.2,3117603.6,0.0,0.0,86.0,46.0,48.1,106.2,781.6,5162.3,0.7436440677966102,04/18/2023,Required Compliance,Complied,2024,420,155.8,39.95472379,-75.16362348,10136101.8,220350.0391304348,0.003547083554350253,0.023427724453201525,46.0,0.5635593220338984,0.5572033898305084,0.10991379310344829,0.49825394506136766,B-
39.95357225,-75.16726928,1650661,Four Penn Center,1600 JFK Blvd,19103,1,1964,Office,552320.063649222,23277420.7,0.0,0.0,15771607.8,78.0,70.7,73.3,155.3,12327.3,5536.9,0.5179856115107914,11/14/2025,Required Compliance,Complied,2024,431,156.0,39.95357225,-75.16726928,39049028.5,552320.063649222,0.02231912402122885,0.010024803305926037,70.7,0.3633093525179856,0.014388489208633115,0.10775862068965514,0.24817042917390222,D
39.95428588,-75.1683873,1767519,Comcast Center,1701 JFK Blvd,19103,1,2008,Office,1622578.8903318902,84911239.2,1745874.3,0.0,25787603.6,77.0,69.3,69.6,167.2,8568.2,32351.9,0.17266187050359716,09/19/2025,Required Compliance,Complied,2024,433,157.7,39.95428588,-75.1683873,112444717.1,1622578.8903318902,0.005280606108617264,0.019938568283347127,69.3,0.37410071942446044,0.38129496402877694,0.10129310344827591,0.2911219300421732,D
39.95477544,-75.17851466,1269439,PECO MAIN OFFICE BUILDING,2301 Market Street,19103,1,1971,Office,871119.1456953642,50576498.1,0.0,0.0,2039098.3,61.0,60.4,62.3,170.2,4574.2,9039.5,0.48201438848920863,No,Required Compliance,Complied,2024,284,99.5,39.95477544,-75.17851466,52615596.4,871119.1456953642,0.005250946466511972,0.010376881330950759,60.4,0.47482014388489213,0.38848920863309355,0.29454022988505746,0.418260563962623,C
39.95431854,-75.17904738,6792817,2400 Market VII LP,2400 Market Street,19103,1,1921,Office,522134.39049236,51298372.1,10209059.1,0.0,0.0,79.0,117.8,118.9,296.7,5044.4,7839.8,0.29496402877697847,12/09/2024,Required Compliance,Complied,2024,289,101.9,39.95431854,-75.17904738,61507431.2,522134.39049236,0.009661114249232374,0.015014908312412175,117.8,0.09352517985611508,0.1007194244604317,0.2772988505747126,0.16229430248904325,F
39.95427458,-75.1744776,16288,One Commerce Square,2005 Market Street,19103,1,1987,Office,993150.514592934,64654098.5,0.0,0.0,0.0,67.0,65.1,65.1,182.3,5149.7,22955.6,0.1007194244604317,02/16/2021,Required Compliance,Complied,2024,344,122.9,39.95427458,-75.1744776,64654098.5,993150.514592934,0.005185216061747423,0.023113918447103546,65.1,0.41726618705035967,0.39568345323741005,0.21695402298850575,0.32432605639626233,C-
39.95362024,-75.17036605,26081,12589 Ten Penn Center,1801 Market Street,19103,1,1981,Office,721545.4491315137,20266045.2,0.0,0.0,8812236.4,78.0,40.3,41.4,94.3,2199.3,4571.1,0.7410071942446044,12/31/2024,Required Compliance,Complied,2024,454,163.1,39.95362024,-75.17036605,29078281.6,721545.4491315137,0.003048040844339302,0.006335151868121396,40.3,0.8165467625899281,0.8345323741007195,0.08045977011494254,0.6624948317208302,B+
39.95417211,-75.17367832,16290,Two Commerce Square,2001 Market Street,19103,1,1992,Office,966204.7929824562,55073673.2,0.0,0.0,0.0,76.0,57.0,57.0,159.7,4386.7,10038.5,0.47482014388489213,02/12/2021,Required Compliance,Complied,2024,370,133.8,39.95417211,-75.17367832,55073673.2,966204.7929824562,0.004540134795294533,0.010389619336303866,57.0,0.539568345323741,0.525179856115108,0.2025862068965517,0.45886256512031753,C+
39.95363797,-75.16942153,1750728,"1735 MARKET STREET - OFFICE, Site # 602850",1735 MARKET ST OFC,19103,1,1990,Office,1374094.851703407,68543330.7,24002.4,0.0,0.0,76.0,49.9,50.4,140.8,5474.9,10731.1,0.6690647482014389,06/19/2018,Required Compliance,Complied,2024,470,168.0,39.95363797,-75.16942153,68567333.10000001,1374094.851703407,0.00398436832305499,0.007809577327720216,49.9,0.6762589928057554,0.6402877697841727,0.06752873563218387,0.544440998924998,B-
39.95221654,-75.16941657,1440658,Duane Morris Plaza,30 South 17th Street,19103,1,1975,Office,718544.678913738,33124669.4,0.0,0.0,11856227.5,76.0,62.6,64.7,151.0,3425.6,11233.1,0.27338129496402874,07/18/2025,Required Compliance,Complied,2024,472,169.7,39.95221654,-75.16941657,44980896.9,718544.678913738,0.004767414053053264,0.015633126692945067,62.6,0.4388489208633094,0.48201438848920863,0.05675287356321834,0.3484009344248739,C-
39.95155865,-75.1658557,3663256,30 South 15th Associates,30 South 15th Street,19102,1,1985,Office,241680.02322206093,12316026.7,4335726.9,0.0,0.0,68.0,68.9,71.9,164.6,1311.2,2698.1,0.4244604316546763,07/06/2017,Required Compliance,Complied,2024,470,170.1,39.95155865,-75.1658557,16651753.6,241680.02322206093,0.005425355321135668,0.011163934710155693,68.9,0.38129496402877694,0.36690647482014394,0.054597701149425304,0.31883320929463327,C-
39.94842062,-75.16505759,3529858,230 South Broad,230 S. Broad St.,19102,1,1908,Office,214595.22893258426,11397479.7,3881700.6,0.0,0.0,44.0,71.2,74.2,171.4,1206.5,4646.4,0.13669064748201443,No,Required Compliance,Complied,2024,533,189.8,39.94842062,-75.16505759,15279180.299999999,214595.22893258426,0.0056222125999782855,0.021651925921706675,71.2,0.3525179856115108,0.3381294964028777,0.017241379310344862,0.2494914413296949,D
39.95067302,-75.17155304,36233118,1845 Walnut,1845 Walnut St.,19103,1,1968,Office,372402.1555869872,17294781.7,0.0,0.0,9034050.7,51.0,70.7,74.4,162.9,2117.7,3999.5,0.4460431654676259,No,Required Compliance,Complied,2024,456,164.1,39.95067302,-75.17155304,26328832.4,372402.1555869872,0.005686594366410263,0.010739733752872386,70.7,0.3633093525179856,0.3237410071942446,0.07614942528735635,0.3083953526833705,C-
39.94974228,-75.16568304,3582095,1435 Walnut (Drexel Building),1435 Walnut St.,19102,1,1927,Office,57174.28016359919,2304840.7,490981.6,0.0,0.0,68.0,48.9,53.0,130.9,228.4,537.6,0.5539568345323741,No,Required Compliance,Complied,2024,482,174.6,39.94974228,-75.16568304,2795822.3000000003,57174.28016359919,0.003994803246257818,0.0094028293572163,48.9,0.6942446043165468,0.6330935251798562,0.033764367816091934,0.5258176217646573,B-
39.95293185,-75.1786222,56125192,2301 Chestnut,2301 Chestnut St.,19103,1,1920,Office,96777.31951871658,1929029.3,5309914.2,0.0,0.0,,74.8,84.2,123.1,451.3,293.9,0.8848920863309353,No,Required Compliance,Complied,2024,327,112.5,39.95293185,-75.1786222,7238943.5,96777.31951871658,0.004663282701405253,0.0030368685706691862,74.8,0.302158273381295,0.49640287769784175,0.24137931034482762,0.4259737037955842,C+
39.95381374,-75.17194801,3505831,Independence Blue Cross,1901 Market Street,19103,1,1988,Office,843086.2850082372,32293463.9,18881873.6,0.0,0.0,77.0,60.7,63.6,134.0,3575.1,7510.1,0.6115107913669064,06/25/2025,Required Compliance,Complied,2024,411,148.6,39.95381374,-75.17194801,51175337.5,843086.2850082372,0.004240491232715368,0.00890786641123764,60.7,0.4676258992805755,0.5899280575539568,0.14942528735632188,0.45614405027701976,C+
39.95310335,-75.17245006,3216590,1900 Market Street,1900 Market Street,19103,1,1981,Office,454106.44920993235,15132064.8,4984850.9,0.0,0.0,85.0,44.3,46.5,107.7,1470.0,3189.2,0.7050359712230216,12/01/2025,Required Compliance,Complied,2024,405,146.5,39.95310335,-75.17245006,20116915.700000003,454106.44920993235,0.003237126454727848,0.007023022917971465,44.3,0.7661870503597122,0.7985611510791367,0.15804597701149425,0.6434796989994213,B+
39.95270443,-75.16921796,1060573,1700 Market Street,1700 Market Street,19103,1,1968,Office,934846.2062937062,34608007.6,0.0,0.0,18865195.4,78.0,57.2,60.6,132.1,4009.2,15898.7,0.2158273381294964,07/31/2025,Required Compliance,Complied,2024,476,170.7,39.95270443,-75.16921796,53473203.0,934846.2062937062,0.004288619853200116,0.017006754579485358,57.2,0.5323741007194245,0.5611510791366907,0.050287356321839116,0.3956689820557348,C
