y_lat,x_lon,portfolio_manager_id,property_name,street_address,postal_code,num_of_buildings,year_built,primary_prop_type_epa_calc,total_floor_area_bld_pk_ft2,electric_use_kbtu,natural_gas_use_kbtu,fuel_oil_02_use_kbtu,steam_use_kbtu,energy_star_score,site_eui_kbtuft2,weather_norm_site_eui_kbtuft2,weather_norm_source_eui_kbtuf,total_ghg_emissions_mtco2e,water_use_all_kgal,water_score,estar_certified,compliance_type,benchmarking_status,data_year,crime_count_5mi,crime_score_5mi_weighted
39.94219424,-75.16915693,5003717,Scottish Rite Tower,739-43 S 16th St,19146,1,1996,Multifamily Housing,77808,2262584.3,2715793.9,,,54.0,71.4,74.0,134.5,324.46,3303.8,56.0,No,Required Compliance,Complied,2024,477,168.7
39.95894522,-75.15899261,27955202,340 North 12th Street,340 North 12th Street,19123,1,1925,Multifamily Housing,"163,800",7501633.5,1561879.8,,,41.0,50.8,51.6,127.6,741.3,3078.2,95.0,No,Required Compliance,Complied,2024,352,136.3
40.02589874,-75.03619649,64671992,PA 7127 Keystone St,7127 Keystone St,19135,1,2022,Multifamily Housing,"100,508",1679457.9,,,,,16.7,16.7,46.8,133.8,1399.7,97.0,No,Required Compliance,Complied,2024,77,32.2
39.90732703,-75.17604903,11990734,NovaCare Complex,3501 S. Broad Street,19145,1,2001,Office,"166,611",11891988.4,,,,82.0,31.0,31.0,86.9,947.2,10508.2,,06/16/2023,Required Compliance,Complied,2024,42,14.1
39.89403387,-75.16851075,6355916,351 Rouse Blvd,351 Rouse Blvd,19112,1,2016,Office,"48,110",8869021.6,7529548.4,,,,346.0,346.0,690.7,1178.3,215.9,,No,Voluntary Compliance,Voluntarily Complied,2024,3,0.8999999999999999
40.01331696,-75.17635609,5015108,Collectors HQ,3190 W Stokley St / 3201 Fox St,19129,1,1959,Office,"63,460",2455049.1,4899365.1,,,45.0,113.1,116.8,190.2,475.7,1095.7,,No,Required Compliance,Complied,2024,66,30.3
39.97774711,-75.17314024,28091320,2300 Jefferson Street,2300 Jefferson Street,19121,1,1958,Multifamily Housing,"63,090",1623439.9,234851.4,,,92.0,29.5,30.1,77.8,141.8,6508.8,1.0,No,Required Compliance,Complied,2024,231,106.10000000000001
39.95247713,-75.16370342,4931294,City Hall,1400 Market St,19107,1,1900,Office,"891,135",24448644.6,38293224.8,,,55.0,95.2,101.7,171.2,4179.6,171.2,,No,Required Compliance,Complied,2024,426,155.6
39.9549658,-75.15210681,4830355,Police Administration Building,750 Race Street,19106,1,1956,Office,"93,999",11178968.0,,,5348081.6,21.0,131.2,135.4,303.9,1336.2,2267.3,,No,Required Compliance,Complied,2024,288,109.8
39.96073239,-75.14306471,4852903,Fire Administration,276 Spring Garden St,19123,1,1975,Office,45334,3442656.0,1305821.0,,,51.0,93.8,94.9,217.0,371.5,1006.6,,No,Required Compliance,Complied,2024,159,58.4
40.02816576,-75.02737982,88107924,7520 State Rd Admin Office,7520-50 STATE RD,19136,1,1940,Office,52800,1363484.8,5210.2,,,,24.4,24.5,68.5,108.88,1.5,,No,Required Compliance,Complied,2024,62,24.7
39.95733391,-75.21259855,30104129,The Clark (cl570),4519 Chestnut street,19139,1,2022,Multifamily Housing,"76,614",9485544.7,3692941.2,,,52.0,55.1,56.7,131.6,951.7,2939.5,100.0,No,Required Compliance,Complied,2024,174,79.4
39.95514349,-75.20160365,3696988,3930 Chestnut St.,3930 Chestnut St,19104,1,1966,Office,"67,084",3593811.8,4996771.8,,,43.0,128.1,127.0,225.3,551.7,425.2,,No,Required Compliance,Complied,2024,173,70.8
39.95465464,-75.19754227,19850489,The Chestnut at University City,3720 Chestnut St.,19104,1,2020,Multifamily Housing,,12031285.1,2664812.7,,,86.0,35.7,35.7,88.5,1099.8,9040.9,85.0,04/29/2025,Required Compliance,Complied,2024,159,61.4
39.95569747,-75.19940529,1489392,St. Leonard's Court,3819 Chestnut Street,19104,1,1985,Office,"51,876",2701097.3,409393.8,,,60.0,59.5,61.8,155.5,258.8,1852.2,,No,Required Compliance,Complied,2024,174,70.0
39.94220568,-75.16911091,5003717,Scottish Rite Tower,1530 Fitzwater Street,,1,1996,Multifamily Housing,,2262584.3,2715793.9,,,54.0,71.4,74.0,134.5,324.5,3303.8,56.0,No,Required Compliance,Complied,2024,477,168.7
39.95409093,-75.15048632,6424704,"WHYY, INC",170 N Independence Mall W,19106,1,1980,Office,"63,402",5344156.5,462230.6,,,90.0,72.6,73.6,194.2,450.2,594.4,,No,Required Compliance,Complied,2024,271,101.4
39.94881995,-75.15673605,3642429,Nevil Building,919 Walnut Street,19107,1,1906,Office,"135,825",3322980.6,,,4588570.8,79.0,58.2,65.5,118.2,596.3,2874.6,,Yes,Required Compliance,Complied,2024,365,138.3
39.97291448,-75.15863428,3628711,Philadelphia Opportunities Industrialization Center,1239 N. Broad St.,19122,1,1920,Office,40640,3058946.1,1014469.7,,,,45.3,47.9,111.3,322.4,817.8,,No,Required Compliance,Complied,2024,231,99.3
39.96026269,-75.15090485,30845269,B12436 - PHILADELPHIA,700 SPRING GARDEN ST,19123,1,1975,Office,"278,180",22068331.8,20949299.7,,,11.0,175.6,177.4,343.9,2870.5,6951.2,,No,Required Compliance,Complied,2024,245,93.1
39.94890794,-75.1559724,3641814,Edison Building,130 South 9th Street,19107-5233,1,1930,Office,"244,109",10991089.2,0.0,,7499436.2,48.0,75.7,79.3,166.8,1462.6,4148.7,,No,Required Compliance,Complied,2024,364,137.3
39.94856266,-75.15594461,3643346,901 Walnut Street Building,901 Walnut Street,19107,1,2010,Office,"85,650",2977453.8,,,5427198.1,61.0,98.1,99.6,175.3,597.5,814.8,,No,Required Compliance,Complied,2024,360,135.9
39.94774854,-75.15836011,3643275,Hamilton Building,1001 Locust Street,19107,1,2007,Office,"271,786",8866679.1,,,5211573.8,62.0,96.8,97.8,214.1,1124.2,4197.2,,No,Required Compliance,Complied,2024,387,144.3
40.07942684,-74.96412438,33155784,4184-Philadelphia - Byberry Rd,4340 Byberry Rd,,1,2022,Self-Storage Facility,,379151.4,,,,,4.9,5.3,14.8,30.2,15.2,,No,Required Compliance,Complied,2024,27,9.2
40.04788364,-75.05246758,4457062,7400 Roosevelt Blvd,7400 Roosevelt Blvd,,5,1973,Multifamily Housing,,3547268.0,3287593.3,,,97.0,30.3,31.3,60.4,485.9,8199.7,52.0,No,Required Compliance,Complied,2024,118,43.5
40.06967498,-75.00491079,27563671,27139-Philadelphia / Academy & Grant,9559 Academy Rd,,1,2000,Self-Storage Facility,,628510.3,,,,,6.0,6.3,17.6,50.06,1240.4,,No,Voluntary Compliance,Voluntarily Complied,2024,29,11.0
39.96661234,-75.18336157,5982719,Graff Mansion- Waterworks,640 Waterworks Rd,,1,2000,Office,,,292163.8,,,100.0,14.2,14.2,14.9,15.5,524.6,,No,Required Compliance,Complied,2024,120,46.8
39.95516025,-75.20235504,26078378,Tangen Hall,115-23 S. 40th Street,19104,1,2020,Office,,2790225.4,262924.6,,,76.0,44.7,44.8,118.5,258.9,831.2,,12/04/2023,Required Compliance,Complied,2024,175,71.7
39.95571908,-75.20280088,3582170,4025 Chestnut (ALI),4023-27 Chestnut St.,19104,1,1968,Office,"53,340",2771495.2,2331972.9,,,29.0,89.5,94.1,183.8,367.1,1016.8,,No,Required Compliance,Complied,2024,182,75.6
39.95467407,-75.16508949,4830369,One Parkway Building,1515-29 Arch St,19102,1,1962,Office,"293,854",30890049.5,11508292.8,,,70.0,84.5,87.5,198.9,3322.3,5941.5,,09/18/2017,Required Compliance,Complied,2024,429,158.6
39.95089665,-75.1471186,58883192,Old City Presbyterian Apts. (S): Building A,25 North 4th Street,19106,1,1970,Multifamily Housing,"58,000",1759227.2,2644382.2,,,25.0,75.9,79.0,136.0,280.6,3137.9,,No,Required Compliance,Complied,2024,225,79.1
39.95743326,-75.14411056,4141032,401 N 3rd Street (Gift of Life Donor Program),401-35 N 3RD ST,19123,1,2003,Office,"94,330",6461945.9,2567472.0,,,40.0,117.3,119.0,272.0,651.1,1768.5,,No,Required Compliance,Complied,2024,146,54.7
39.96325933,-75.18859023,58614292,3205 Spring Garden,3205-15 Spring Garden St,,1,2022,Multifamily Housing,,1203995.9,,,,100.0,19.3,19.3,53.9,105.7,1688.4,96.0,No,Required Compliance,Complied,2024,123,46.1
